id, background, body, feathers, beak, beak color, eyes, eye color, eyewear, headwear, outerwear
0, Yellow, Crescent, Red, Short, Orange, Fire, Epic, , , Hoodie
1, Pink, Tabby, Black, Short, Orange, Diamond, Epic, , , 
2, Blue, Brave, Red, Small, Orange, Angry, Yellow, , Skully, 
3, Gray, Stark, Gray, Short, Gray, Discerning, Purple, , Fire, 
4, Pink, Stark, Blue, Short, Gray, Discerning, Green, , Lincoln, 
5, Gray, Crescent, Black, Small, Orange, Adorable, Epic, , Aviator's Cap, Gold Chain
6, Yellow, Crescent, Gray, Small, Gray, Moon, Epic, , , 
7, Blue, Guardian, White, Short, Gray, Angry, Gray, , Cowboy Hat, 
8, Blue, Professor, Green, Short, Orange, Diamond, Epic, , , 
9, Blue, Tranquil, White, Short, Gray, Diamond, Epic, , Dancing Flame, 
10, Green, Tabby, Purple, Short, Gray, , , Visor, Diamond, 
11, Yellow, Professor, Brown, Long, Orange, Open, Gray, Big Tech, , 
12, Gray, Crescent, Gray, Small, Gray, Side-eye, Green, , Wizard's Hat, 
13, Purple, Brave, Purple, Long, Orange, Relaxed, Green, , , 
14, Purple, Guardian, Red, Small, Orange, Discerning, White, , Tiara, 
15, Yellow, Tabby, Brown, Small, Gray, Angry, Red, , Space Helmet, 
16, Purple, Brave, Blue, Small, Orange, Diamond, Epic, , , 
17, Gray, Sage, White, Long, Orange, Open, Red, , Tiny Crown, 
18, Yellow, Stark, Brown, Short, Orange, Open, White, Big Tech, Captain's Cap, 
19, Blue, Guardian, Brown, Short, Orange, , , Sunglasses, Flower, 
20, Gray, Robot, Metal, Small, Robot, , , Visor, Backwards Hat, Punk Jacket
21, Green, Tabby, Gray, Small, Orange, Open, Red, , Forest Ranger, 
22, Purple, Tabby, Red, Small, Orange, Side-eye, Green, , Space Helmet, 
23, Yellow, Stark, Brown, Long, Gray, Relaxed, Yellow, , Aviator's Cap, 
24, Gray, Guardian, Gray, Short, Orange, Angry, Green, , , Punk Jacket
25, Pink, Crescent, Purple, Short, Orange, Open, White, , Raincloud, 
26, Purple, Sage, Gray, Long, Orange, Open, White, , Skully, 
27, Blue, Tranquil, Red, Short, Orange, Open, Gray, , Headband, 
28, Purple, Sage, Blue, Small, Gray, Open, Purple, , Tiny Crown, 
29, Yellow, Crescent, Purple, Small, Gray, , , 3D Glasses, Flower, 
30, Gray, Guardian, Gray, Short, Orange, Angry, Blue, , , 
31, Gray, Crescent, Blue, Short, Orange, Open, White, , Backwards Hat, 
32, Gray, Crescent, Brown, Short, Orange, Open, Yellow, , Fire, 
33, Gray, Crescent, Pink, Small, Gray, Relaxed, Purple, , Moon Hat, 
34, Purple, Crescent, Black, Long, Orange, Open, Green, , Queen's Crown, 
35, Green, Brave, Purple, Small, Gray, Side-eye, Blue, , , Punk Jacket
36, Pink, Stark, Brown, Small, Gray, Relaxed, Gray, , Headphones, 
37, Pink, Crescent, Red, Short, Gray, Moon, Epic, , Wizard's Hat, 
38, Blue, Stark, Brown, Short, Orange, Open, Green, Monocle, , 
39, Pink, Crescent, Black, Small, Orange, Discerning, Yellow, , , Hoodie Down
40, Pink, Stark, Black, Small, Orange, , , Visor, Gremplin, 
41, Yellow, Stark, Green, Small, Orange, Adorable, Epic, , Halo, 
42, Purple, Tranquil, Green, Small, Orange, Side-eye, Blue, , Flower, 
43, Yellow, Stark, Pink, Long, Orange, Relaxed, Gray, , Tiara, 
44, Blue, Tabby, White, Long, Orange, Discerning, Gray, , Queen's Crown, 
45, Green, Robot, Metal, Short, Robot, Open, Robot, Big Tech, Captain's Cap, Hoodie Down
46, Green, Tranquil, Purple, Long, Gray, Relaxed, Yellow, , Headband, Diamond Necklace
47, Purple, Brave, Purple, Small, Orange, , , Sunglasses, Tiny Crown, 
48, Purple, Crescent, Blue, Small, Orange, Open, Blue, , Backwards Hat, 
49, Purple, Skeleton, Bone, Small, Skeleton, , , Aviators, Mohawk (Pink), 
50, Blue, Brave, Pink, Short, Orange, Discerning, White, , , 
51, Green, Crescent, Purple, Short, Gray, , , Aviators, Diamond, 
52, Gray, Brave, Purple, Short, Orange, Angry, White, , Dancing Flame, 
53, Purple, Tranquil, White, Long, Gray, Side-eye, White, , Bandana, Gold Chain
54, Pink, Emperor, Pink, Short, Gray, Side-eye, Green, , Grail, 
55, Green, Crescent, Brown, Small, Orange, Open, Blue, , Mohawk (Pink), 
56, Pink, Tabby, Gray, Long, Orange, Adorable, Epic, , Flower, Punk Jacket
57, Pink, Tabby, Blue, Short, Gray, Relaxed, Red, , Raincloud, 
58, Purple, Crescent, Green, Short, Orange, Adorable, Epic, , Skully, 
59, Yellow, Crescent, Purple, Long, Gray, Discerning, Green, , Beanie, Bomber Jacket
60, Purple, Stark, Purple, Long, Orange, Angry, Purple, , Headband, 
61, Gray, Crescent, Red, Short, Gray, Angry, Purple, , Beanie, Jean Jacket
62, Purple, Crescent, Blue, Small, Gray, Open, Yellow, Big Tech, Cowboy Hat, 
63, Gray, Crescent, Gray, Long, Gray, Discerning, Gray, , Durag, 
64, Green, Crescent, Pink, Short, Gray, Discerning, White, , Cowboy Hat, 
65, Purple, Guardian, Green, Long, Gray, Angry, Gray, , Cowboy Hat, 
66, Purple, Brave, Pink, Small, Orange, , , Jobs Glasses, , 
67, Pink, Professor, Green, Short, Gray, Adorable, Epic, , , 
68, Blue, Skeleton, Bone, Long, Skeleton, , , Aviators, Mohawk (Green), 
69, Yellow, Tranquil, Brown, Short, Orange, Angry, Blue, Monocle, Halo, 
70, Yellow, Crescent, White, Long, Orange, Open, Blue, , Witch's Hat, 
71, Blue, Crescent, Black, Short, Orange, , , Jobs Glasses, Moon Hat, 
72, Green, Crescent, White, Short, Gray, Open, White, , , Hoodie
73, Pink, Tabby, Brown, Short, Gray, Discerning, Green, , Headband, 
74, Pink, Crescent, Pink, Small, Orange, Open, Red, , Moon Hat, 
75, Blue, Tranquil, Red, Short, Gray, Angry, Red, , , Jean Jacket
76, Yellow, Crescent, Black, Long, Orange, Angry, White, , , 
77, Green, Guardian, Red, Short, Gray, , , 3D Glasses, , 
78, Gray, Crescent, White, Small, Orange, Relaxed, Purple, , Bow, 
79, Gray, Crescent, Gray, Short, Orange, Moon, Epic, , , Hoodie
80, Purple, Stark, Brown, Small, Gray, Discerning, Red, , Chromie, 
81, Blue, Brave, Black, Small, Gray, Open, White, , , 
82, Purple, Stark, Brown, Short, Gray, Discerning, Blue, , Karate Band, 
83, Green, Emperor, Red, Short, Gray, , , Visor, , 
84, Yellow, Guardian, Purple, Short, Gray, Discerning, White, , Queen's Crown, 
85, Gray, Crescent, Gray, Short, Gray, Relaxed, Purple, , Backwards Hat, 
86, Pink, Professor, Black, Small, Orange, Open, Green, , , Gold Chain
87, Purple, Crescent, Purple, Long, Orange, Discerning, Red, , Pirate's Hat, 
88, Gray, Emperor, White, Long, Gray, Discerning, Purple, , Tiara, 
89, Blue, Crescent, Gray, Small, Gray, Discerning, Red, , , 
